['202.39.128.0' , '202.39.255.255']
['103.125.64.0' , '103.125.67.255']
['103.125.156.0' , '103.125.159.255']
['103.125.180.0' , '103.125.183.255']
['103.125.228.0' , '103.125.231.255']
['103.125.224.0' , '103.125.227.255']
['103.126.88.0' , '103.126.91.255']
['103.126.140.0' , '103.126.143.255']
['103.126.180.0' , '103.126.183.255']
['103.126.164.0' , '103.126.167.255']
['103.126.252.0' , '103.126.255.255']
['103.127.132.0' , '103.127.135.255']
['103.127.136.0' , '103.127.139.255']
['103.127.148.0' , '103.127.151.255']
['103.127.228.0' , '103.127.231.255']
['103.127.220.0' , '103.127.223.255']
['103.127.232.0' , '103.127.235.255']
['103.127.216.0' , '103.127.219.255']
['103.127.236.0' , '103.127.239.255']
['103.127.240.0' , '103.127.243.255']
['103.132.20.0' , '103.132.23.255']
['103.132.44.0' , '103.132.47.255']
['103.132.40.0' , '103.132.43.255']
['103.132.100.0' , '103.132.103.255']
['103.132.132.0' , '103.132.135.255']
['103.132.156.0' , '103.132.159.255']
['103.133.44.0' , '103.133.47.255']
['103.133.156.0' , '103.133.159.255']
['103.133.152.0' , '103.133.155.255']
['103.133.196.0' , '103.133.199.255']
['103.133.244.0' , '103.133.247.255']
['103.134.80.0' , '103.134.83.255']
['103.134.120.0' , '103.134.123.255']
['103.134.232.0' , '103.134.235.255']
['103.135.20.0' , '103.135.23.255']
['103.135.16.0' , '103.135.19.255']
['103.135.64.0' , '103.135.67.255']
['103.135.116.0' , '103.135.119.255']
['103.135.120.0' , '103.135.123.255']
['103.136.60.0' , '103.136.61.255']
['103.136.210.0' , '103.136.211.255']
['103.136.212.0' , '103.136.213.255']
['103.136.224.0' , '103.136.225.255']
['103.137.22.0' , '103.137.23.255']
['103.137.62.0' , '103.137.63.255']
['103.137.64.0' , '103.137.65.255']
['103.137.98.0' , '103.137.99.255']
['103.137.166.0' , '103.137.167.255']
['103.137.188.0' , '103.137.189.255']
['103.137.246.0' , '103.137.247.255']
['103.138.92.0' , '103.138.93.255']
['103.138.106.0' , '103.138.107.255']
['103.138.194.0' , '103.138.195.255']
['103.138.254.0' , '103.138.255.255']
['103.139.64.0' , '103.139.65.255']
['103.139.96.0' , '103.139.97.255']
['103.139.92.0' , '103.139.93.255']
['103.139.126.0' , '103.139.127.255']
['103.139.240.0' , '103.139.241.255']
['103.140.110.0' , '103.140.111.255']
['103.140.232.0' , '103.140.233.255']
['103.141.80.0' , '103.141.81.255']
['103.141.82.0' , '103.141.83.255']
['43.241.32.0' , '43.241.35.255']
['103.37.36.0' , '103.37.39.255']
['210.209.144.0' , '210.209.159.255']
['121.254.64.0' , '121.254.127.255']
['210.209.192.0' , '210.209.255.255']
['203.217.96.0' , '203.217.127.255']
['210.209.128.0' , '210.209.143.255']
['203.222.16.0' , '203.222.31.255']
['210.209.160.0' , '210.209.191.255']
['203.222.0.0' , '203.222.15.255']
['103.142.42.0' , '103.142.43.255']
['103.142.44.0' , '103.142.45.255']
['103.142.152.0' , '103.142.153.255']
['103.142.150.0' , '103.142.151.255']
['103.142.176.0' , '103.142.177.255']
['103.143.56.0' , '103.143.57.255']
['223.26.64.0' , '223.26.127.255']
['175.111.32.0' , '175.111.63.255']
['43.240.152.0' , '43.240.155.255']
['203.163.192.0' , '203.163.223.255']
['103.5.100.0' , '103.5.103.255']
['103.144.34.0' , '103.144.35.255']
['103.144.32.0' , '103.144.33.255']
['103.144.64.0' , '103.144.65.255']
['103.144.248.0' , '103.144.249.255']
['103.146.164.0' , '103.146.165.255']
['116.212.80.0' , '116.212.95.255']
['203.207.0.0' , '203.207.15.255']
['61.67.122.0' , '61.67.127.255']
['103.146.210.0' , '103.146.211.255']
['103.146.212.0' , '103.146.213.255']
['103.147.22.0' , '103.147.23.255']
['103.147.58.0' , '103.147.59.255']
['103.147.130.0' , '103.147.131.255']
['103.148.68.0' , '103.148.69.255']
['103.148.72.0' , '103.148.73.255']
['103.148.130.0' , '103.148.131.255']
['103.46.188.0' , '103.46.191.255']
['43.227.24.0' , '43.227.27.255']
['103.148.142.0' , '103.148.143.255']
['103.148.146.0' , '103.148.147.255']
['103.149.66.0' , '103.149.67.255']
['103.149.64.0' , '103.149.65.255']
